SppCode,Genus,Species Name,Common Name
BAFO,Bauhinia,forficata,Bauhinia
BAPI1,Bauhinia,picta,Bauhinia picta
SUMA2,Suriana,maritima,Bay cedar
PIRA2,Pimenta,racemosa,Bay rum tree
SCGL7,Schisandra,glabra,Bay starvine
EULA9,Eugenia,laevis,Bayamon stopper
MYPE,Morella,pensylvanica,Bayberry
RATE8,Rauvolfia,tetraphylla,Be still tree
SCSE6,Scaevola,sericea,Beach naupaka
PRMA2,Prunus,maritima,Beach plum
CRBE5,Crataegus,beadlei,Beadle's hawthorn
HARO,Hakea,rostrata,Beaked Hakea
COCO3,Corylus,cornuta,Beaked hazlenut
POHE7,Polygala,heterorhyncha,Beaked spiny polygala
EURO,Eucalyptus,robusta,Beakpod euclayptus
GAUR,Gaylussacia,ursina,Bear huckleberry
QUIL,Quercus,ilicifolia,Bear oak
NYUR2,Nyssa,ursina,Bear tupelo
CRPU9,Crataegus,pulcherrima,Beautiful hawthorn
KOAM80,Kolkwitzia,amabilis,Beautybush
SPST3,Spiraea,stevenii,Beauverd spirea
OPBA2,Opuntia,basilaris,Beavertail pricklypear
CRIG2,Crataegus,ignave,Bedford springs hawthorn
HYGA,Hypericum,galioides,Bedstraw st. johnswort
ACSP4,Acacia,sphaerocephala,Bee wattle
FAOR,Fagus,orientalis,Beech
BABE2,Bambusa,beecheyana,Beechey's bamboo
CRBE4,Croton,betulinus,Beechleaf croton
FRBE2,Frangula,betulifolia,Beechleaf frangula
GUDI,Guapira,discolor,Beeftree
GRST,Grevillea,striata,Beefwood
BEEM,Beilschmiedia,emarginata,Beilschmiedia emarginata
TOMA,Tournefortia,maculata,Bejuco de masa
SASC3,Salmea,scandens,Bejuco de miel
SEVI5,Securidaca,virgata,Bejuco de sopla
CALE28,Casuarina,lepidophloia,Belah
BEMI,Beilschmiedia,miersii,Belloto del norte
JUCA8,Justicia,californica,Beloperone
EUEL1,Eucalyptus,elliptica,Bendemeer white gum
FIBE,Ficus,benjamina,Benjamin fig
FLBE,Flindersia,bennettiana,Bennett's Ash
LYVI5,Lycianthes,virgata,Berengena de paloma
CRBO3,Crataegus,bona,Berks county hawthorn
ABBE,Abutilon,berlandieri,"Berlandier indian mallow"
CIBE,Citharexylum,berlandieri,Berlandier's fiddlewood
ESBE,Esenbeckia,berlandieri,Berlandier's jopoy
LYBE,Lycium,berlandieri,Berlandier's wolfberry
ACBE2,Acalypha,berteriana,Berteron acalypha
MASI3,Marlierea,sintenisii,Beruquillo
EUBE1,Eucalyptus,beyeri,Beyer's ironbark
CUTO,Cupressus,torulosa,Bhutan cypress
PIWA1,Pinus,wallichiana,Bhutan pine
LEBI,Lespedeza,bicolor,Bicolored lespedeza
MEBI1,Melaleuca,biconvexa,Biconvex Paperbark
ERBI,Erythrina,bidwillii,Bidwill's coral tree
EUBA1,Eucalyptus,badjensis,Big Badja gum
LEMI4,Leucophyllum,minus,Big bend barometerbush
NEOV,Neraudia,ovata,Big island ma'oloa
KHGR,Khaya,grandifoliola,Big Leaf Mahogany
ARTR,Artemisia,tridentata,Big sagebrush
ARGL4,Arctostaphylos,glauca,Bigberry manzanita
PSMA,Pseudotsuga,macrocarpa,Bigcone douglas fir
NOBI,Nolina,bigelovii,Bigelow's nolina
ASOB6,Asimina,obovata,Bigflower pawpaw
CRMA3,Crataegus,macrosperma,Bigfruit hawthorn
TIPL,Tilia,platyphyllos,Bigleaf linden
MAMA,Magnolia,macrophylla,Bigleaf magnolia
ACMA,Acer,macrophyllum,Bigleaf maple
STGR4,Styrax,grandifolius,Bigleaf snowbell
CEME,Ceanothus,megacarpus,Bigpod ceanothus
POGR,Populus,grandidentata,Bigtooth aspen
ACGR3,Acer,grandidentatum,Bigtooth maple
AVBI,Averrhoa,bilimbi,Bilimbi
TEFE,Terminalia,ferdinandiana,Billy Goat Plum
GRBI2,Grewia,biloba,Bilobed grewia
MAGL4,Malus,glabrata,Biltmore crabapple
CRIN,Crataegus,intricata,Biltmore hawthorn
STNI,Strelitzia,nicolai,Bird of paradise tree
CAGI,Caesalpinia,gilliesii,Bird or paradise bush
EUMO,Eugenia,monticola,Birdcherry
ALSU,Alectryon,subcinereus,Bird's Eye
OCJA,Ochna,jabotapita,Bird'sÅ]eye bush
BABA1,Banksia,baxteri,BirdsÅ]nest Banksia
CYBO3,Cyathea,borinquena,Birdwing treefern
ZACO,Zanthoxylum,coriaceum,Biscayne pricklyash
BIPO,Bischofia,polycarpa,Bischofia polycarpa
PIMU2,Pinus,muricata,Bishop pine
BINO,Bismarckia,nobilis,Bismarckia palm
PIAN2,Picrasma,antillana,Bitter ash
PREM,Prunus,emarginata,Bitter cherry
RIAM,Ribes,amarum,Bitter gooseberry
CILI2,Citrus,limetta,Bitter orange
SAMU1,Santalum,murrayanum,Bitter Quandong
COGL,Condalia,globosa,Bitter snakewood
RANI,Rauvolfia,nitida,BitterÅ]ash
PIPE,Picramnia,pentandra,Bitterbush
CACO,Carya,cordiformis,Bitternut hickory
PIEX,Picrasma,excelsa,Bitterwood
MICE,Mimosa,ceratonia,Black ambret
DIRE6,Diospyros,revoluta,Black apple
FRNI,Fraxinus,nigra,Black ash
PHNI,Phyllostachys,nigra,Black Bamboo
CAAU,Castanospermum,australe,Black Bean
BELE,Betula,lenta,Black birch
ARAC,Argyrodendron,actinophyllum,Black booyong
EULA2,Eucalyptus,largiflorens,Black box
AMLA2,Amphitecna,latifolia,Black calabash
PRSE1,Prunus,serotina,Black cherry
PHME13,Photinia,melanocarpa,Black chokeberry
POTR,Populus,trichocarpa,Black cottonwood
CAEN,Callitris,endlicheri,Black Cypress Pine
ACPR2,Acacia,pruinocarpa,Black Gidgee
EUAG1,Eucalyptus,aggregata,Black gum
VIPR,Viburnum,prunifolium,Black haw
CRDO,Crataegus,douglasii,Black hawthorn
CATE,Carya,texana,Black hickory
VAFU,Vaccinium,fuscatum,Black highbush blueberry
GABA,Gaylussacia,baccata,Black huckleberry
EURA4,Eucalyptus,raveretiana,Black ironbox
ROPS,Robinia,pseudoacacia,Black locust
GUFR,Guapira,fragrans,Black mampoo
AVGE,Avicennia,germinans,Black mangrove
ACNI,Acer,nigrum,Black maple
EURE,Eucalyptus,redunca,Black marlock
MIPI,Mimosa,pigra,Black mimosa
MONI,Morus,nigra,Black mulberry
CAMO14,Caesalpinia,monensis,Black nicker
QUVE,Quercus,velutina,Black oak
BUBU,Bucida,buceras,Black olive
PLAU,Planchonella,australis,Black plum
PONI,Populus,nigra,Black poplar
SAGR,Salix,gracilistyla,Black pussy willow
EUST,Eucalyptus,stellulata,Black sally
CAPA5,Casuarina,pauper,Black Sheoak
ALLI,Allocasuarina,littoralis,Black sheÅ]oak
PIMA,Picea,mariana,Black spruce
OCFO,Ocotea,foeniculacea,Black sweetwood
MEBR,Melaleuca,bracteata,Black teatree
ACME2,Acacia,mellifera,Black thorn acacia
NYSY,Nyssa,sylvatica,Black tupelo
JUNI,Juglans,nigra,Black walnut
ACME80,Acacia,mearnsii,Black wattle
CORA2,Coleogyne,ramosissima,Blackbrush
ACRI,Acacia,rigidula,Blackbrush acacia
ACAN4,Acacia,anegadensis,"Blackbrush wattle"
EUPI,Eucalyptus,pilularis,Blackbutt
COSE3,Cornus,sessilis,Blackfruit dogwood
QUMA2,Quercus,marilandica,Blackjack oak
OXLA4,Oxandra,lanceolata,Blacklancewood
EUAM81,Eucalyptus,amygdalina,Blackpeppermint
EUBI,Eugenia,biflora,Blackrodwood
PRSP2,Prunus,spinosa,Blackthorn
ERFR4,Erithalis,fruticosa,Blacktorch
ACME,Acacia,melanoxylon,Blackwood
COAR6,Colutea,arborescens,Bladder senna
ACBL,Acacia,blakelyi,Blakelyi's Wattle
EUBL,Eucalyptus,blakelyi,Blakely's redgum
CRIR2,Crataegus,irrasa,Blanchard's hawthorn
BEAR,Bedfordia,arborescens,Blanket Leaf
EUBL1,Eucalyptus,blaxlandii,Blaxland's strigybark
PRBL,Prunus,blieriana,Blierana plum
DIBU,Distictis,buccinatoria,Blood trumpet
COSA81,Cornus,sanguinea,Bloodtwig dogwood
HACA2,Haematoxylum,campechianum,Bloodwoodtree
FRQU,Fraxinus,quadrangulata,Blue ash
CETH,Ceanothus,thyrsiflorus,Blue blossom
EUBA5,Eucalyptus,baueriana,Blue box
CULA,Cunninghamia,lanceolata,Blue chinese fir
EUGL,Eucalyptus,globulus,Blue gum eucalyptus
GAFR2,Gaylussacia,frondosa,Blue huckleberry
EUOR1,Eucalyptus,oreades,Blue Mountains Ash
EUNO1,Eucalyptus,notabilis,Blue Mountains mahogany
EUST1,Eucalyptus,stricta,Blue Mountains mallee ash
QUDO,Quercus,douglasii,Blue oak
CEFL,Parkinsonia,florida,Blue paloverde
ELGR,Elaeocarpus,grandis,Blue Quandong
PIPU,Picea,pungens,Blue spruce
ACME1,Acacia,meisneri,Blue Wattle
ELRE,Elaeocarpus,reticulatus,Blueberry ash
CRBR,Crataegus,brachyacantha,Blueberry hawthorn
EUMA,Eucalyptus,macrocarpa,Bluebush
ATNU,Atriplex,nummularia,Bluegreen saltbush
QUCI,Quercus,incana,Bluejack oak
LOKO,Lonicera,korolkowii,Blueleaf honeysuckle
EUPO1,Eucalyptus,polybractea,BlueÅ]leaved mallee
EUAG,Eucalyptus,agglomerata,BlueÅ]leaved stringybark
ERPU18,Eranthemum,pulchellum,BlueÅ]sage
YUGU,Yucca,guatemalensis,Bluestem yucca
QUAU,Quercus,austrina,Bluff oak
ACMU2,Achyranthes,mutica,Blunt chaff flower
CYOB4,Cyanea,obtusa,Bluntlobe cyanea
ADGR,Adansonia,gregorii,Boab
BOCA,Boehmeria,caudata,Boehmeria caudata
BEPU,Betula,pumila,Bog birch
CLGR3,Clermontia,grandiflora,Bog clermontia
MYDE3,Myrsine,denticulata,Bog colicwood
CYPR5,Cyrtandra,procera,Bog cyrtandra
DUIM,Dubautia,imbricata,Bog dubautia
CHCA,Chamaedaphne,calyculata,Bog heather
LAHE2,Labordia,hedyosmifolia,Bog labordia
KAPO,Kalmia,polifolia,Bog laurel
LOGL4,Lobelia,gloriaÅ]montis,Bog lobelia
COEL3,Coprosma,elliptica,Bog mirrorplant
LISU8,Lindera,subcoriacea,Bog spicebush
EUCH,Eucalyptus,chapmaniana,Bogong gum
JABE,Jacquinia,berteroi,Bois bande
TOCU,Torralbasia,cuneifolia,Boje
IXAC,Ixora,acuminata,Bola de nieve
PEBO2,Peumus,boldus,Boldo
ARVI3,Arctostaphylos,virgata,Bolinas manzanita
FUBO,Fuchsia,boliviana,Bolivian fuchsia
EULA5,Eupomatia,laurina,Bolwarra
ARSI,Arctostaphylos,silvicola,Bonny doon manzanita
MYIN,Myoporum,insulare,Boobialla
EUKR,Eucalyptus,kruseana,Bookleaf Mallee
ACAM,Acacia,amoena,Boomerang Wattle
FIDE,Ficus,destruens,Boonjee
PIDI,Pinus,discolor,Border pinyon
LIOB,Ligustrum,obtusifolium,Border privet
PILE2,Pinus,leucodermis,Bosnian pine
PATR,Parthenocissus,tricuspidata,Boston ivy
HYLA,Hyophorbe,lagenicaulis,Bottle palm
BROC,Brachychiton,occulneuem,Bottle tree
CAPE,Callistemon,pendula,Bottlebrush
AEPA2,Aesculus,parviflora,Bottlebrush buckeye
QUSI2,Quercus,similis,Bottomland post oak
CRAL14,Crataegus,alma,Bountiful hawthorn
ACAR2,Actinidia,arguta,Bower actinidia
ACNE,Acer,negundo,Boxelder
MEPE9,Melicope,peduncularis,Boxfruit alani
AZMI2,Azara,microphylla,Boxleaf azara
EUFO3,Eugenia,foetida,Boxleaf stopper
ACBU1,Acacia,buxifolia,BoxÅ]leaf Wattle
CIBR3,Citharexylum,brachyanthum,Boxthorn fiddlewood
QUBO2,Quercus,boyntonii,Boynton sand post oak
JAAR2,Jacquinia,armillaris,Braceletwood
BRRU,Brachychiton,rupestris,Brachichiton rupestris
HIBR,Hibiscus,brackenridgei,Brackenridge's rosemallow
CRBR3,Crataegus,brainerdii,Brainerd's hawthorn
GRRA,Grevillea,ramosissima,Branching Grevillea
COHO,Condalia,hookeri,Brazilian bluewood
CEFI2,Cedrela,fissilis,Brazilian cedarwood
EUBR4,Eugenia,brasiliensis,Brazilian cherry
SC7,Schizolobium,,Brazilian firetree spp
MYCA1,Myrciaria,cauliflora,Brazilian Grape Tree
SCTE,Schinus,terebinthifolius,Brazilian pepper
OPBR2,Opuntia,brasiliensis,Brazilian pricklypear
PSGR1,Pseudobombax,grandiflorum,Brazilian shavingÅ]brush
CAEC,Caesalpinia,echinata,Brazilwood
CRBR4,Crataegus,brazoria,Brazos hawthorn
ARAL2,Artocarpus,altilis,Breadfruit
BRAL3,Brosimum,alicastrum,Breadnut
SIOB,Sideroxylon,obovatum,Breakbill
ASAC,Astrocaryum,aculeatissimum,Brejava palm
PIBR,Picea,brewerana,Brewer spruce
PIBR4,Picea,breweriana,Brewer's Weeping Spruce
LECA12,Leucophyllum,candidum,Brewster barometerbush
SPPR,Spiraea,prunifolia,Bridalwreath spirea
CHCO12,Chionanthus,compactus,Bridgotree
ACHA1,Acacia,harpophylla,Brigalow
TRCO,Tristaniopsis,conferta,Brisbane box
ERBR11,Erythroxylum,brevipes,Brisselet
AGCU,Agrostis,curtisii,Bristle bent
ABBR,Abies,bracteata,"Bristlecone fir"
PIAR,Pinus,aristata,Bristlecone pine
ACHI2,Acalypha,hispida,Bristly copperleaf
SMHI,Smilax,hispida,Bristly greenbrier
ROHI,Robinia,hispida,Bristly locust
MASE,Malpighia,setosa,Bristly stingingbush
TRAC,Trithrinax,acanthocoma,Brizilian needle palm
PONA,Podocarpus,nagi,Broad leaf podocarpus
EUUM,Eucalyptus,umbra,Broad leaf white mahogany
COCO,Corymbia,confertiflora,Broad Leaved Carbeen
NOLA,Nothocestrum,latifolium,Broadleaf aiea
CAHA9,Capparis,hastata,Broadleaf caper
CRPR1,Crataegus,prunifolia,BroadÅ]leaf Cockspur Thorn
CRDI,Crataegus,dilatata,Broadleaf hawthorn
LOHE7,Lonchocarpus,heptaphyllus,Broadleaf lancepod
CHOB2,Charpentiera,obovata,Broadleaf papala
SYLA8,Symplocos,latifolia,Broad-leaf sweetleaf
EUCA8,Eucalyptus,carnea,BroadÅ]leaf White Mahogany
SOLA,Sorbus,latifolia,Broadleaf Whitebeam
MEPA,Melaleuca,parvistaminea,BroadÅ]leaved paperbark
EUDI1,Eucalyptus,dives,BroadÅ]leaved peppermint
PHLA,Phillyrea,latifolia,BroadÅ]leaved phillyrea
EUFI,Eucalyptus,fibrosa,BroadÅ]leaved red ironbark
EUCA4,Eucalyptus,caliginosa,BroadÅ]leaved stringybark
ACLO1,Acacia,loderi,Broken Hill Gidgee
ERDE,Eriobotrya,deflexa,Bronze loquat
EUBR1,Eucalyptus,brookeriana,Brooker's gum
EXSP,Exocarpos,sparteus,Broom Ballart
LESC2,Leptospermum,scoparium,Broom teatree
BADI3,Baccharis,dioica,Broombush false willow
TRHI3,Trichilia,hirta,Broomstick
EUFA1,Eucalyptus,fastigata,Brown barrel
COGL3,Cornus,glabrata,Brown dogwood
COBA1,Commersonia,bartramia,Brown Kurrajong
EUAS,Eucalyptus,astringens,Brown mallet
CAPO6,Caesalpinia,portoricensis,Brown nicker
PONE21,Podocarpus,neriifoluis,Brown pine
ACMA7,Acacia,mangium,brown salwood
EUBA6,Eucalyptus,baxteri,Brown stringy bark
EUCA7,Eucalyptus,capitellata,Brown stringybark
PSBR3,Psychotria,brownei,Browne's wild coffee
BABR,Banksia,brownii,Brown's Banksia
DABR2,Dalbergia,brownei,Brown's indian rosewood
FIDR3,Ficus,drupacea,BrownÅ]woolly fig
BRPA1,Brunfelsia,pauciflora,Brunfelsia pauciflora
BR13,Brunfelsia,,Brunfelsia spp
EUPA2,Eugenia,paniculata,Brush cherry
CAMA1,Callitris,macleayana,Brush CypressÅ]pine
CHLE,Choricarpia,leptopetala,Brush Turpentine
LAAC,Lantana,achyranthifolia,Brushland shrubverbena
GEDU,Genistidium,dumosum,Brushpea
ERFU2,Erythrina,fusca,Bucayo
PSSA,Pseudophoenix,sargentii,Buccaneer palm
BUCA1,Buchenavia,capitata,Buchenavia capitata
CECU,Ceanothus,cuneatus,Buckbrush
QUBU2,Quercus,buckleyi,Buckley oak
SILY,Sideroxylon,lycioides,Buckthorn bully
CLMO,Cliftonia,monophylla,Buckwheat tree
EUD5,Eucalyptus,dendromorpha,Budawang Ash
CRXA,Crataegus,xanthophylla,Buffalo hawthorn
PYPU,Pyrularia,pubera,Buffalo nut
ACKE1,Acacia,kettlewelliae,Buffalo Wattle
ABBO,Abies,borisii-regis,"Bulgarian fir"
BAGR,Banksia,grandis,Bull Banksia
EUBE2,Eucalyptus,behriana,Bull Mallee
ACCO5,Acacia,cornigera,Bullhorn wattle
ALLU,Allocasuarina,luehmannii,Bulloak
EUCH4,Euryops,chrysanthemoides,Bull's eye
SLBE,Sloanea,berteriana,Bullwood
POMU6,Pouteria,multiflora,Bullytree
BUAR1,Bunchosia,armeniaca,Bunchosia armeniaca
ARBI,Araucaria,bidwillii,Bunya bunya
QUMA1,Quercus,macrocarpa,Bur oak
BABU,Banksia,burdettii,Burdett's Banksia
KUER,Kunzea,ericoides,Burgan
LEBU2,Lepidospartum,burgessii,Burgess' broomsage
COUT,Corypha,utan,Buri palm
PTMA,Pterocarpus,macrocarpus,Burma paduk
CAMI36,Caryota,mitis,Burmese fishtail palm
DAAM2,Daphnopsis,americana,Burn nose
ACFA1,Acacia,falcata,Burra
MACO1,Macrozamia,communis,Burrawang
FISP3,Fitchia,speciosa,Burrdaisytree
CAAM13,Capparis,amplissima,Burro blanco
HYSA,Hymenoclea,salsola,Burrobrush
KEBR,Keckiella,breviflora,Bush beardtongue
CHSE11,Chrysolepis,sempervirens,Bush chinquapin
THER,Thunbergia,erecta,Bush clockvine
CRFR,Croton,fruticulosus,Bush croton
CABR1,Carallia,brachiata,Bush Currant
GAME,Gardenia,megasperma,Bush Gardenia
CNDU,Cneoridium,dumosum,Bush rue
HYDE,Hypericum,densiflorum,Bushy st. johnswort
EULE2,Eucalyptus,lehmannii,Bushy yate
EXPA,Exothea,paniculata,Butterbough
JUCI,Juglans,cinerea,Butternut
ENFR,Encelia,frutescens,Button brittlebush
CEOC2,Cephalanthus,occidentalis,Button bush
COER,Conocarpus,erectus,Button mangrove
LAIN2,Lantana,involucrata,Buttonsage
EUCR1,Eucalyptus,crenulata,Buxton gum
BYCR1,Byrsonima,crispa,Byrsonima crispa
BYLA2,Byrsonima,laevigata,Byrsonima laevigata
BYLA,Byrsonima,laxiflora,Byrsonima laxiflora
BYSE,Byrsonima,sericea,Byrsonima sericea
EUAM,Eucalyptus,amplifolia,Cabbage gum
BRIN4,Brighamia,insignis,Cabbage on a stick
SAPA,Sabal,palmetto,Cabbage palmetto
ROCE,Rosa,centifolia,Cabbage rose
CUSP,Cussonia,spicata,Cabbage Tree
ANIM,Andira,inermis,Cabbagebark tree
CHLI6,Chionanthus,ligustrinus,Cabra blanca
MYFR4,Myrocarpus,frondosus,Cabriuva
FORH,Forestiera,rhamnifolia,Caca ravet
MEOB2,Meliosma,obtusifolia,Cacaillo
THCA,Theobroma,cacao,Cacao
ZIRE,Ziziphus,reticulata,Cacao rojo
PSMA4,Psychotria,maleolens,Cachimbo de gato
PSMA5,Psychotria,maricaensis,Cachimbo de maricao
PSGR2,Psychotria,grandis,Cachimbo grande
PSBE,Psychotria,berteriana,CachimboÅ]cumun
COTO,Corymbia,torelliana,Cadaghi
BUGL2,Bunchosia,glandulifera,Cafe falso
BUGL,Bunchosia,glandulosa,Cafe forastero
DRAL5,Drypetes,alba,Cafeillo
MIGA,Micropholis,garciniifolia,Caimitillo verde
CASC33,Cajanus,scarabaeoides,Cajanus
MELI7,Melaleuca,linariifolia,Cajeput tree
SOPO,Solanum,polygamum,Cakalaka berry
CRCU,Crescentia,cujete,Calabash tree
EUCA9,Eucalyptus,caleyi,Caley's Ironbark
EUPA1,Eucalyptus,parramattensis,Calgaroo
FRDI2,Fraxinus,dipetala,California ash
AYCO,Ayenia,compacta,California ayenia
QUKE,Quercus,kelloggii,California black oak
LESQ,Lepidospartum,squamatum,California broomsage
AECA2,Aesculus,californica,California buckeye
FRCA12,Frangula,californica,California buckthorn
LYCA,Lycium,californicum,California desertÅ]thorn
AMCA5,Amorpha,californica,California false indigo
FRCA6,Fremontodendron,californicum,California flannelbush
ERER11,Ericameria,ericoides,California goldenbush
PTCR3,Ptelea,crenulata,California hoptree
JUCA1,Juniperus,californica,California juniper
UM1,Umbellularia,,California laurel spp
PHCA18,Philadelphus,californicus,California mock orange
SOCA8,Sorbus,californica,California mountain ash
SCMO,Schinus,molle,California peppertree
PICA16,Pinus,californiarum,California pine
ADCA2,Adolphia,californica,California prickbush
LIOV,Ligustrum,ovalifolium,California privet
ABMA,Abies,magnifica,"California red fir"
CEOR9,Cercis,orbiculata,California redbud
CRCA4,Crossosoma,californicum,California rockflower
PLRA,Platanus,racemosa,California sycamore
TOCA,Torreya,californica,California torreya
QULO,Quercus,lobata,California white oak
ROCA2,Rosa,californica,California wildrose
ERCA6,Eriodictyon,californicum,California yerba santa
CEDI,Ceanothus,divergens,Calistoga ceanothus
PYCA,Pyrus,calleryana,Callery pear
CAHA1,Calliandra,haematocephala,Calliandra haematocephala
CAMA2,Calliandra,magdalenae,Calliandra magdalenae
CAME1,Calliandra,medellinensis,Calliandra medellinensis
CASE,Callicoma,serratifolia,Callicoma
ENPO4,Entada,polystachya,Callingcard vine
CASP1,Callistemon,speciosus,Callistemon speciosus
CABR3,Calophyllum,brasiliense,Calophyllum brasiliense
CACO2,Calyptranthes,concinna,calyptranthes concinna
CALA1,Calyptranthes,lanceolata,Calyptranthes lanceolata
CALU,Calyptranthes,lucida,Calyptranthes lucida
CAST1,Calyptranthes,strigipes,Calyptranthes strigipes
MELA7,Mecranium,latifolium,Camasey almendre
CLCY5,Clidemia,cymosa,Camasey colorado
MIMI3,Miconia,mirabilis,Camasey cuatrocanales
MIIM,Miconia,impetiolaris,Camasey de costilla
MIRA2,Miconia,racemosa,Camasey felpa
HEFA5,Henriettea,fascicularis,Camasey peludo
MIPA7,Miconia,pachyphylla,Camasey racimoso
HECY,Heterotrichum,cymosum,Camasey terciopelo
MITH,Miconia,thomasiana,Camasey tomaso
GOPO1,Gochnatia,polymorpha,cambara
CUVE,Cupania,vernalis,Camboata vermelho
CUOB,Cupania,oblongifolia,camboataÅ]branco
PLED,Plinia,edulis,cambuca
BLSA,Blepharocalyx,salicifolius,cambui
EUBE,Eucalyptus,benthamii,Camden white gum
EUMA2,Eucalyptus,macarthurii,Camden woollybutt
CAJA9,Camellia,japonica,Camellia
ALMA12,Alhagi,maurorum,Camelthorn
EUCA12,Eucalyptus,camfieldii,Camfield's Stringybark
CHPA31,Chrysophyllum,pauciflorum,Camito de perro
MACA,Magnolia,campbellii,Campbell's Magnolia
CICA,Cinnamomum,camphora,Camphor tree
CASC,Campomanesia,schlechtendaliana,Campomanesia schlechtenda
PRNI,Prunus,nigra,Canada plum
TACA,Taxus,canadensis,Canada yew
RIOX,Ribes,oxyacanthoides,Canadian gooseberry
CAFI,Cassia,fistula,Canafistula
GECA16,Genista,canariensis,Canary broom
HYCA11,Hypericum,canariense,Canary isl. st. johnswort
PHCA,Phoenix,canariensis,Canary island date palm
PICA,Pinus,canariensis,Canary island pine
ARCA,Arbutus,canariensis,Canary Islands Madrone
BAAT,Banksia,attenuata,Candle Banksia
PACE8,Parmentiera,cereifera,Candle tree
EURU1,Eucalyptus,rubida,Candlebark
DAEX,Dacryodes,excelsa,Candletree
PHMY,Phialanthus,myrtilloides,Candlewood
FEWI,Ferocactus,wislizeni,Candy barrelcactus
PEKR,Persea,krugii,Canela
NEFE,Nectandra,ferruginea,canelaÅ]amarela
ANBR7,Aniba,bracteata,Canelillo
DRWI,Drimys,winteri,Canelo
POCA23,Pouteria,campechiana,Canistel
CACA1,Cabralea,canjerana,canjerana
PIPA1,Piptadenia,paniculata,canjiquinha
COGU3,Couroupita,guianensis,Cannonball tree
CAHO,Canotia,holacantha,Canotia
RIME,Ribes,menziesii,Canyon gooseberry
QUCH,Quercus/live,chrysolepis,Canyon live oak
PHER,Philadelphus,ernestii,Canyon mock orange
GAVE2,Garrya,veatchii,Canyon silktassel
COAL2,Cordia,alliodora,Capa prieto
CAAM14,Callicarpa,ampla,Caparosa
NEPA4,Nectandra,patens,Capberry
POAU,Polyalthia,australis,Cape Canary Beech
PIVI5,Pittosporum,viridiflorum,Cape cheesewood
CACA3,Calodendrum,capense,Cape chesnut
GAAN6,Gardenia,angusta,Cape jasmine
VIDI,Virgilia,divaricata,Cape Lilac
ALLO,Albizia,lophantha,Cape Wattle
DOTI,Dombeya,tiliacea,Cape Wedding Bells
CABA2,Capparis,baducca,Caper
EUDI2,Eucalyptus,dielsii,CapÅ]fruited Mallee
CRFL1,Croton,floribundus,capixingui
RAUM,Rapanea,umbrellata,Capororoca
MYRU,Myrsine,rubra,capororocao
MYUM,Myrsine,umbellata,capororocao umbellata
ACCA3,Acer,cappadocicum,Cappadocian Maple
POPU19,Poitea,punicea,Caracol illo
WIUR,Wigandia,urens,Caracus wigandia
CAGU1,Carapa,guianensis,Carapa guianensis
COTE1,Corymbia,tessellaris,Carbeen
ILMA,Ilex,macfadyenii,Caribbean holly
MACY2,Maytenus,cymosa,Caribbean mayten
BEDI2,Bernardia,dichotoma,Caribbean myrtlecroton
LAEX,Lantana,exarata,Caribbean shrubverbena
AEMA,Aegiphila,martinicensis,Caribbean spiritweed
DEFL2,Dendrophthora,flagelliformis,Caribbean tree destroyer
TAAR,Tabebuia,aurea,Caribbean trumpet-tree
GRPI4,Graptophyllum,pictum,Caricature plant
CAPY1,Cariniana,pyriformis,Cariniana pyriformis
CEGR2,Ceanothus,griseus,Carmel ceanothus
COPR,Copernicia,prunifera,Carnuaba wax palm
CYAN2,Cybistax,antisyphilitica,carobaÅ]doÅ]campo
CAFL2,Calycanthus,floridus,Carolina allspice
FRCA,Fraxinus,caroliniana,Carolina ash
RHCA14,Rhododendron,carolinianum,Carolina azalea
RHCA2,Frangula,caroliniana,Carolina buckthorn
LYCA2,Lycium,carolinianum,Carolina desertÅ]thorn
CRAR7,Crataegus,arcana,Carolina hawthorn
TSCA2,Tsuga,caroliniana,Carolina hemlock
ILAM,Ilex,ambigua,Carolina holly
INCA,Indigofera,caroliniana,Carolina indigo
KACA2,Kalmia,carolina,Carolina laurel
PRCA,Prunus,caroliniana,Carolina laurelcherry
AZCA,Azolla,caroliniana,Carolina mosquitofern
HYNI3,Hypericum,nitidum,Carolina st. johnswort
CAAC1,Carpenteria,acuminata,Carpentaria Palm
CALA2,Carpinus,laxiflora,Carpinus laxiflora
CABR2,Carpotroche,brasiliensis,Carpotroche brasiliensis
ISAR2,Isocoma,arguta,Carquinez goldenbush
COGL4,Comocladia,glabra,Carrasco
CUAN,Cupaniopsis,anacardioides,Carrotwood
PSCA16,Pseuderanthemum,carruthersii,Carruthers' falseface
CLER,Clibadium,erosum,Carruzo
DACA9,Dalea,carthagenensis,Cartagena prairie clover
CAPU2,Carya,pumilia,Carya
CAJA1,Caryodendron,janeirense,Caryodendron janeirence
RHAL2,Rhododendron,albiflorum,Cascade azalea
ROYA,Rosa,yainacensis,Cascade rose
ROYA,Rosa,yainacensis,Cascade rose
RHPU,Frangula,purshiana,Cascara buckthorn
CANE1,Casearia,nectandra,Casearia nectandra
CAOB2,Casearia,obliqua,Casearia obliqua
ANOC,Anacardium,occidentale,Cashew
CASP2,Senna,spectabilis,Casia amarilla
GLCA,Gleditsia,caspica,Caspina locust
CASP3,Cassia,spectabilis,Cassia spectabilis
CASA2,Castanea,sativa,Casta?o com?n
